-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/17/2025 through 06/18/2025 in LST
Location: Latitude  48.329   Longitude 25.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 323.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN,RH2M,WS2M
2025,6,15,0,11.39,0.0,83.73,1.93
2025,6,15,1,11.48,0.0,83.34,2.19
2025,6,15,2,11.38,0.0,84.22,2.26
2025,6,15,3,11.18,0.0,85.2,2.23
2025,6,15,4,11.16,0.03,84.83,2.39
2025,6,15,5,12.21,0.32,79.58,2.95
2025,6,15,6,13.58,0.81,74.67,3.17
2025,6,15,7,15.91,1.37,67.88,3.24
2025,6,15,8,18.26,1.98,61.32,3.5
2025,6,15,9,20.04,2.51,56.13,3.81
2025,6,15,10,21.07,2.87,53.03,3.94
2025,6,15,11,21.69,2.97,51.33,3.99
2025,6,15,12,22.45,2.94,50.02,4.06
2025,6,15,13,23.1,2.79,48.78,4.16
2025,6,15,14,23.37,2.68,48.3,4.27
2025,6,15,15,23.26,2.33,48.55,4.22
2025,6,15,16,22.87,1.82,49.58,4.05
2025,6,15,17,22.19,1.22,52.01,3.66
2025,6,15,18,20.86,0.68,60.21,2.59
2025,6,15,19,18.16,0.24,74.65,1.42
2025,6,15,20,15.55,0.0,80.36,1.27
2025,6,15,21,14.57,0.0,82.42,1.27
2025,6,15,22,13.81,0.0,84.32,1.29
2025,6,15,23,13.14,0.0,86.24,1.32
2025,6,16,0,12.55,0.0,88.03,1.29
2025,6,16,1,11.96,0.0,89.81,1.22
2025,6,16,2,11.38,0.0,92.36,1.17
2025,6,16,3,10.85,0.0,94.92,1.15
2025,6,16,4,10.93,0.03,93.94,1.2
2025,6,16,5,13.12,0.35,85.33,1.67
2025,6,16,6,15.11,0.86,75.91,2.41
2025,6,16,7,17.23,1.42,67.42,2.21
2025,6,16,8,19.91,1.99,56.07,2.36
2025,6,16,9,21.92,2.56,50.08,2.51
2025,6,16,10,23.25,2.98,47.68,2.48
2025,6,16,11,24.33,3.23,46.0,2.48
2025,6,16,12,25.23,3.3,44.7,2.57
2025,6,16,13,25.91,3.2,43.71,2.73
2025,6,16,14,26.29,2.92,43.36,2.86
2025,6,16,15,26.41,2.48,43.5,2.87
2025,6,16,16,26.21,1.91,44.28,2.76
2025,6,16,17,25.46,1.32,49.62,2.24
2025,6,16,18,24.05,0.75,59.99,1.62
2025,6,16,19,21.06,0.27,74.56,1.0
2025,6,16,20,18.86,0.0,74.16,1.12
2025,6,16,21,18.11,0.0,75.28,1.12
2025,6,16,22,17.44,0.0,77.07,1.11
2025,6,16,23,16.66,0.0,79.67,1.12
2025,6,17,0,15.88,0.0,82.28,1.18
2025,6,17,1,15.28,0.0,83.99,1.34
2025,6,17,2,15.07,0.0,84.05,1.85
2025,6,17,3,15.23,0.0,84.03,3.02
2025,6,17,4,15.04,0.02,89.19,3.73
2025,6,17,5,15.79,0.14,90.34,4.04
2025,6,17,6,17.27,0.3,85.35,4.58
2025,6,17,7,18.58,0.46,78.63,4.8
2025,6,17,8,19.0,0.4,75.91,4.73
2025,6,17,9,19.05,0.66,75.56,4.65
2025,6,17,10,19.21,0.91,74.26,4.52
2025,6,17,11,19.83,1.15,69.98,4.42
2025,6,17,12,20.86,1.59,64.19,4.37
2025,6,17,13,21.94,1.76,58.83,4.44
2025,6,17,14,22.31,2.36,55.3,4.53
2025,6,17,15,22.1,2.06,53.26,4.44
2025,6,17,16,21.84,1.59,52.5,4.23
2025,6,17,17,21.51,1.08,53.63,3.89
2025,6,17,18,20.61,0.63,60.15,2.83
2025,6,17,19,18.52,0.22,72.82,1.64
2025,6,17,20,16.45,0.0,78.85,1.48
2025,6,17,21,15.83,0.0,80.92,1.5
2025,6,17,22,15.23,0.0,83.47,1.52
2025,6,17,23,14.63,0.0,86.11,1.54
2025,6,18,0,14.03,0.0,88.84,1.58
2025,6,18,1,13.4,0.0,91.85,1.66
2025,6,18,2,13.05,0.0,93.47,1.96
2025,6,18,3,12.33,0.0,96.25,1.93
2025,6,18,4,11.9,0.03,97.13,1.95
2025,6,18,5,13.32,0.3,88.51,2.8
2025,6,18,6,15.24,0.79,79.35,2.88
2025,6,18,7,18.08,1.37,64.82,3.01
2025,6,18,8,19.93,1.96,57.95,3.16
2025,6,18,9,21.26,2.47,54.49,3.14
2025,6,18,10,22.49,2.88,51.27,3.07
2025,6,18,11,23.64,3.1,48.39,2.96
2025,6,18,12,24.61,3.26,46.64,2.8
2025,6,18,13,25.37,3.15,45.52,2.75
2025,6,18,14,25.84,2.88,45.11,2.72
2025,6,18,15,25.99,2.45,45.34,2.59
2025,6,18,16,25.87,1.87,46.16,2.47
2025,6,18,17,25.4,1.27,49.65,2.0
2025,6,18,18,24.52,0.71,56.35,1.48
2025,6,18,19,21.9,0.25,73.28,0.93
2025,6,18,20,19.88,0.0,73.63,1.04
2025,6,18,21,19.75,0.0,74.77,0.93
2025,6,18,22,19.39,0.0,75.68,1.0
2025,6,18,23,18.54,0.0,79.29,1.28
